datasetid,sitename,lon,lat,,,,,,,,,,,
633,Site 54 (Delcourt  et al. 1983),-93.48,33.37,,,,,,,,,,,
634,Site 55 (Delcourt  et al. 1983),-92.32,33.11,,,,,,,,,,,
635,Site 56 (Delcourt  et al. 1983) ,-91.63,33.01,,,,,,,,,,,
636,Site 57 (Delcourt  et al. 1983),-92.33,32.53,,,,,,,,,,,
637,Site 58 (Delcourt  et al. 1983),-93.2,32.58,,,,,,,,,,,
638,Site 59 (Delcourt  et al. 1983),-94.37,32.49,,,,,,,,,,,
639,Site 60 (Delcourt  et al. 1983),-80.27,32.87,,,,,,,,,,,
640,Site 61 (Delcourt  et al. 1983),-91.2,31.82,,,,,,,,,,,
641,Site 62 (Delcourt  et al. 1983),-93.57,31.51,,,,,,,,,,,
642,Site 63 (Delcourt  et al. 1983),-92.83,30.5,,,,,,,,,,,
643,Site 64 (Delcourt  et al. 1983),-93.72,30.13,,,,,,,,,,,
644,Site 65 (Delcourt  et al. 1983),-81.68,32.24,,,,,,,,,,,
645,Site 66 (Delcourt  et al. 1983),-85.37,30.82,,,,,,,,,,,
646,Site 67 (Delcourt  et al. 1983),-85.88,31.79,,,,,,,,,,,
647,Site 68 (Delcourt  et al. 1983),-86.77,32.28,,,,,,,,,,,
648,Site 69 (Delcourt  et al. 1983),-94.28,29.93,,,,,,,,,,,
649,Site 70 (Delcourt  et al. 1983),-91.72,30.34,,,,,,,,,,,
650,Site 71 (Delcourt  et al. 1983),-91.53,29.78,,,,,,,,,,,
651,Site 72 (Delcourt  et al. 1983),-91.03,29.67,,,,,,,,,,,
652,Site 73 (Delcourt  et al. 1983),-90.52,29.78,,,,,,,,,,,
653,Site 74 (Delcourt  et al. 1983),-85.82,33.61,,,,,,,,,,,
654,Site 75 (Delcourt  et al. 1983),-90.42,30.47,,,,,,,,,,,
655,Site 76 (Delcourt  et al. 1983),-89.98,29.88,,,,,,,,,,,
656,Site 77 (Delcourt  et al. 1983),-90.42,30.2,,,,,,,,,,,
657,Site 78 (Delcourt  et al. 1983),-89.83,30.3,,,,,,,,,,,
658,Site 79 (Delcourt  et al. 1983),-87.27,34.63,,,,,,,,,,,
659,Site 80 (Delcourt  et al. 1983),-91.48,34.83,,,,,,,,,,,
660,Site 81 (Delcourt  et al. 1983),-91.75,35.17,,,,,,,,,,,
661,Site 82 (Delcourt  et al. 1983),-92.72,35.18,,,,,,,,,,,
662,Site 83 (Delcourt  et al. 1983),-93.8,35.78,,,,,,,,,,,
663,Site 84 (Delcourt  et al. 1983),-93.73,36.1,,,,,,,,,,,
664,Site 85 (Delcourt  et al. 1983),-94.07,36.43,,,,,,,,,,,
665,Site 86 (Delcourt  et al. 1983),-94.33,35.23,,,,,,,,,,,
666,Site 87 (Delcourt  et al. 1983),-94.07,34.73,,,,,,,,,,,
667,Site 88 (Delcourt  et al. 1983),-88.77,31.1,,,,,,,,,,,
668,Site 89 (Delcourt  et al. 1983),-89.68,32.32,,,,,,,,,,,
669,Site 90 (Delcourt  et al. 1983),-88.03,32.43,,,,,,,,,,,
670,Site 91 (Delcourt  et al. 1983),-94.4,30.11,,,,,,,,,,,
3598,Deer Lake Bog,-71.83333,44.03333,,,,,,,,,,,
