"","Time","MAT5180","MAT 86-15","WAPLS 51-80","WAPLS 86-15","WA5180","WA 86-15"
"30",5983,18.556889206,19.097778096,10.7859676274743,11.4047579773575,10.7859676274834,11.4047579773663
"31",6043,17.895889182,18.304611396,12.9448359737191,13.5293224151806,12.9448359737317,13.5293224151927
"32",6208,19.228444744,19.639166968,12.1778963583764,12.7677353543648,12.1778963583877,12.7677353543756
"33",6395,17.602833616,18.016666942,12.5696439003151,13.1565366019035,12.5696439003271,13.156536601915
"34",6580,18.411555864,18.853944744,12.1449566671523,12.7381214070135,12.1449566671636,12.7381214070243
"35",6755,17.479000302,17.936944738,12.4618935636673,13.0459258233214,12.4618935636791,13.0459258233327
"36",6928,18.411555864,18.853944744,12.3149365790223,12.9060599244703,12.3149365790339,12.9060599244814
"37",7130,16.307611378,16.733944728,12.91672055993,13.4920342352994,12.9167205599426,13.4920342353114
"38",7485,17.455166956,17.90494474,12.7533079015772,13.3324489055046,12.7533079015895,13.3324489055163
"39",7635,18.793500322,19.204833638,11.9587278039317,12.563072388899,11.9587278039427,12.5630723889095
"40",7771,17.455166956,17.90494474,12.6449462098321,13.2253643377225,12.6449462098442,13.225364337734
"41",8083,17.456833618,17.809333616,12.3213495895714,12.9132149870319,12.321349589583,12.913214987043
"42",8468,17.455166956,17.90494474,12.7738673279768,13.3508984032289,12.7738673279892,13.3508984032406
"43",8872,18.411555864,18.853944744,12.3908703382069,12.9799603117108,12.3908703382187,12.9799603117219
"44",9338,17.479000302,17.936944738,12.6715113043503,13.2503879032321,12.6715113043625,13.2503879032437
"45",9903,17.983722532,18.37400029,11.9203850104562,12.5135252087373,11.9203850104672,12.5135252087478
"46",10448,17.316222512,17.79755584,12.4998160594983,13.0778869614391,12.4998160595102,13.0778869614505
"47",10989,18.411555864,18.853944744,11.8810873459831,12.4766227372558,11.881087345994,12.4766227372662
"48",11312,17.479000302,17.936944738,12.1639600030322,12.7489039889354,12.1639600030435,12.7489039889462
"49",11465,17.558166972,18.033722514,12.8898695248699,13.4629777306342,12.8898695248825,13.4629777306462
"50",11511,16.787111408,17.241722506,12.5010361016528,13.078666750216,12.5010361016647,13.0786667502273
