site.name,lat,long,51.8,86.15,Abies,Acer,Alnus rugosa,AlnusXC,Aquifoliaceae,Arceuthobium,Artemisia,Asteraceae,Betula,Brassicaceae,Carya,Caryophyllaceae,Castanea,Celtis,Cephalanthus,Chenopodiaceae/Amaranthaceae,Chrysolepis/Lithocarpus,Corylus,Cupressaceae,Cyperaceae,Dryas,Ephedra,Ericaceae,Fagus,Juglans,Larix/Pseudotsuga,Liquidambar,Minor Forbs,Myricaceae,Nyssa,Ostrya/Carpinus,Oxyria,Papaveraceae,Picea,Pinus diploxylon,Pinus haploxylon,Pinus undifferentiated,Plantaginaceae,Platanus,Poaceae,Populus,Prosopis,Pteridium,Quercus,Rosaceae,Salix,Sarcobatus,Sphagnum,Taxodium,Tilia,Total Fraxinus (sum of nigra/penn/undiff),Total Lycopodium,Tsuga undifferentiated,Ulmus
Dickey Valley,42.62,-90.58,8.050277912,8.741666804,0,0,0,0,0,0,0,5.882352941,0.392156863,0,1.960784314,0,0,0,0,0.392156863,0,0,0,0,0,0,0,0,4.705882353,0,0,0,0,0,1.176470588,0,0,0,0,0,1.568627451,0,0,29.41176471,0,0,0,49.41176471,0,0,0,0,0,0.392156863,0.392156863,0,0,4.31372549
Tennyson,42.65,-90.67,8.050277912,8.741666804,0,0,0,0,0,0,2.631578947,1.578947368,0,0,5.263157895,0,0,0,0,4.210526316,0,0.526315789,3.684210526,0,0,0,0,0,3.684210526,0,0,0,0,0,0.526315789,0,0,0,0,0,16.84210526,5.263157895,0,36.31578947,2.105263158,0,0,15.26315789,0,0,0,0,0,0.526315789,0,0,0,1.578947368
Platte Valley,42.72,-90.47,7.696389007,8.354166809,0,0.682593857,0,0,0,0,0,3.071672355,1.023890785,0,3.412969283,0,0,0,0,3.412969283,0,0,0,0,0,0,0,0,1.706484642,0,0,0,0,0,1.023890785,0,0,0,0,0,8.19112628,1.023890785,0,62.79863481,0,0,0,13.65187713,0,0,0,0,0,0,0,0,0,0
Hokah,43.75,-91.47,7.491944586,8.28833348,0,1.060070671,0,0,0,0,0,2.120141343,1.413427562,0,2.826855124,0,0,0,0,2.826855124,0,0.35335689,0,0,0,0,0,0,0,0,0,0,0,0,0.35335689,0,0,0.35335689,0,0,7.4204947,0,0,68.90459364,0,0,0,10.9540636,0,0.35335689,0,0,0,0,0,0,0,1.060070671
Sheldon,43.67,-91.05,7.491944586,8.28833348,0,1.660516605,0,0,0,0,0,0,0.36900369,0,1.660516605,0,0,0,0,1.84501845,0,0,0,0,0,0,0,0,1.291512915,0,0,0,0,0,0.553505535,0,0,0,0,0,4.42804428,1.84501845,0,73.43173432,0,0,0,10.51660517,0.36900369,0,0,0,0,1.10701107,0.184501845,0,0,0.73800738
Hollndal,42.88,-89.88,7.491666845,8.158055701,0,0.555555556,0,0,0,0,0,4.444444444,2.222222222,0,3.888888889,0,0,0,0,7.777777778,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,1.666666667,0,0,0,0,0,7.777777778,0,0,21.66666667,0,0,0,38.88888889,0,0,0,0,0,0,0,0,0,9.444444444
Harrison,42.7,-90.55,8.050277912,8.741666804,0,0.540540541,0,0,0,0,0,1.621621622,0.540540541,0,2.702702703,0,0,0,0,1.621621622,0,0,0,0,0,0,0,0,5.405405405,0,0,0,0,0,0.540540541,0,0,0,0,0,3.243243243,0,0,48.64864865,1.081081081,0,0,25.94594595,0,0.540540541,0,0,0,1.621621622,0.540540541,0,0,5.405405405
Arena8,43.1,-89.92,7.012500166,7.724444552,0,0.5,0,0.5,0,0,0,1.5,3,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0.5,0,0,2.5,0,0,17,0,0,0,55,0,0,0,0,0,0,1,0,0,5.5
Arena16,43.08,-89.92,7.012500166,7.724444552,0,1.990049751,0,0.497512438,0,0,0,10.44776119,0,0,2.487562189,0,0,0,0,1.990049751,0,0,0,0,0,0,0,0,0.497512438,0,0,0,0,0,0,0,0,0,0,0,2.487562189,0,0,47.76119403,0,0,0,28.35820896,0,0,0,0,0,0.497512438,0,0,0,2.985074627
Mazomani,43.17,-89.78,7.012500166,7.724444552,0,0.473933649,0,0,0,0,0,1.895734597,3.317535545,0,4.739336493,0,0,0,0,3.317535545,0,0.473933649,0,0,0,0,0,0,2.843601896,0,0,0,0,0,0.947867299,0,0,0,0,0,15.16587678,0.947867299,0,25.11848341,0,0,0,36.01895735,0,0.947867299,0,0,0,0,0.473933649,0,0,3.317535545
Vermnt29,43.03,-89.8,7.012500166,7.724444552,0,2.162162162,0,0,0,0,0,0,0,0,0.540540541,0,0,0,0,10.27027027,0,0,0.540540541,0,0,0,0,0,2.162162162,0,0,0,0,0,0.540540541,0,0,0,0,0,2.702702703,6.486486486,0,48.10810811,0,0,0,23.24324324,1.081081081,0,0,0,0,0,0,0,0,2.162162162
Vermnt18,43.08,-89.83,7.012500166,7.724444552,0,1.075268817,0,0,0,0,0,8.064516129,0.537634409,0,3.225806452,0,0,0,0,5.376344086,0,1.075268817,0,0,0,0,0,0,6.451612903,0,0,0,0,0,0,0,0,0,0,0,3.76344086,1.075268817,0,15.59139785,0,0,0,51.07526882,0,2.150537634,0,0,0,0,0.537634409,0,0,0
Brighm35,43.03,-89.87,7.012500166,7.724444552,0,0.520833333,0,0,0,0,0,2.604166667,8.333333333,0,2.083333333,0,0,0,0,0.520833333,0,1.041666667,1.041666667,0,0,0,0,0,8.854166667,0,0,0,0,0,1.041666667,0,0,0,0,0,2.604166667,0,0,10.41666667,0,0,0,53.64583333,0,2.604166667,0,0,0,0,0,0,0,4.6875
Arena15,43.08,-89.88,7.012500166,7.724444552,0,0.641025641,0,1.282051282,0,0,0,1.923076923,1.923076923,0,3.205128205,0,0,0,0,1.923076923,0,0,0.641025641,0,0,0,0,0,5.128205128,0,0,0,0,0,1.282051282,0,0,0,0,0,5.128205128,0,0,10.8974359,0,0,0,52.56410256,0,0,0,0,0,0,2.564102564,0,0,10.8974359
Brighm25,43.05,-89.87,7.012500166,7.724444552,0,1.546391753,0,0,0,0,0,2.06185567,3.092783505,0,7.216494845,0,0,0,0,1.546391753,0,0,0.515463918,0,0,0,0,0,4.639175258,0,0,0,0,0,2.06185567,0,0,0,0,0,7.216494845,0,0,18.04123711,0,0,0,47.93814433,0,0.515463918,0,0,0,0,0.515463918,0,0,3.092783505
Brighm24,43.07,-89.85,7.012500166,7.724444552,0,2.380952381,0,1.19047619,0,0,0,1.785714286,2.976190476,0,5.357142857,0,0,0.595238095,0,0,0,0.595238095,2.380952381,0,0,0,0,0,4.166666667,0,0,0,0,0,1.785714286,0,0,0,0,0,4.761904762,0,0,12.5,3.571428571,0,0,47.61904762,0,3.571428571,0,0,0,0,2.976190476,0,0,1.785714286
Hillsbor,43.72,-90.38,6.670833484,7.578889028,0,0.677966102,0,0.677966102,0,0,0,0.677966102,4.406779661,0,4.406779661,0,0,0,0,2.711864407,0,0,0.338983051,0,0,0,0,0,1.694915254,0,0,0,0,0,2.033898305,0,0,0,0,0,5.084745763,2.033898305,0,37.28813559,0,0,0,29.15254237,0,0,0,0,0,0.677966102,1.016949153,0,0,7.118644068
Hungry Jack Lake,48.15,-91.12,1.692222266,2.521388906,1.25284738,0.569476082,2.619589977,1.822323462,0,0,0.683371298,0,13.2118451,0,0.113895216,0,0,0,0,2.391799544,0,0.683371298,3.416856492,0.113895216,0,0,0,0,0,0.113895216,0,0,0.113895216,0,0.113895216,0,0,9.79498861,22.66514806,3.302961276,26.87927107,0,0,1.822323462,2.164009112,0,0,3.530751708,0,0.113895216,0,0,0,0.113895216,1.480637813,0,0,0.911161731
Hell's Kitchen Lake,46.18693,-89.702685,3.368611197,4.052222298,1.162790698,1.744186047,0,6.395348837,0,0,2.034883721,0.290697674,22.38372093,0,0,0,0,0,0,3.488372093,0,0.290697674,8.139534884,0.872093023,0,0,0,0,0.290697674,0.872093023,0,0,0,0,1.162790698,0,0,2.034883721,0,0,25.87209302,0,0,5.23255814,4.941860465,0,0,3.488372093,0,2.034883721,0,0,0,0.290697674,0.581395349,0,5.813953488,0.581395349
Greens Lake,42.28,-73.88,8.949166836,9.68055573,0,3.081232493,0,0,0,0,0,0.840336134,16.52661064,0,5.042016807,0,0.280112045,0,0.280112045,0.280112045,0,0,2.521008403,0.56022409,0,0,0,2.240896359,0.840336134,0,0,0.280112045,0,0,4.761904762,0,0,0,0.56022409,0.840336134,6.722689076,0.56022409,0.56022409,2.801120448,1.960784314,0,0,36.41456583,0.56022409,0.56022409,0,0,0,0.280112045,7.56302521,0,1.120448179,1.960784314
Belmont Bog,42.25,-77.916667,6.476389017,6.883611228,0,4.260985353,0,0.532623169,0,0,0,0,1.864181092,0,1.19840213,0,0.133155792,0,8.521970706,0.399467377,0,0,0,0,0,0,15.04660453,1.464713715,0,0,0,0,0,0.133155792,1.464713715,0,0,0.133155792,0,5.725699068,12.38348868,1.331557923,0.399467377,5.992010652,0.266311585,0,0,7.057256991,1.19840213,0.932090546,0,25.29960053,0,0.266311585,0.665778961,0,2.663115846,0.665778961
BI01,57.113333,-76.39,-6.394722331,-5.730833455,0,0,0.778210117,19.14396887,0,0,2.80155642,0,21.3229572,0,0.155642023,0.155642023,0,0,0,0.778210117,0,0,0.778210117,11.3618677,0,0,0.46692607,0,0,0,0,0,0,0,0,0,0,26.53696498,0.311284047,0,0.311284047,0,0,3.579766537,0,0,0,0.155642023,0,1.712062257,0,7.937743191,0,0,0.155642023,1.40077821,0,0.155642023
Lake BI2,57.116667,-76.378333,-6.394722331,-5.730833455,0,0,0.151630023,13.49507202,0,0,2.426080364,0,20.62168309,0,0,0,0,0,0,0.606520091,0,0,0.454890068,12.28203184,0,0,1.516300227,0,0,0,0,0,0,0,0,0,0,20.84912813,0.454890068,0,0.606520091,0,0,7.429871114,0,0,0,0,0.303260045,2.577710387,0,13.19181198,0,0,0,3.032600455,0,0
BI03,57.123333,-76.405,-6.394722331,-5.730833455,0,0,1.054216867,10.54216867,0,0,3.915662651,0,14.90963855,0,0,0,0,0,0,0.451807229,0,0.15060241,0.301204819,8.28313253,0,0,0.753012048,0,0,0,0,0,0.15060241,0,0.15060241,0,0,40.06024096,0.903614458,0,0.451807229,0,0,1.807228916,0,0,0,0.15060241,0,0.753012048,0,14.0060241,0,0,0,1.204819277,0,0
BI04,57.123333,-76.415,-6.394722331,-5.730833455,0,0,0.789889415,16.11374408,0,0,4.58135861,0,16.27172196,0,0.157977883,0.157977883,0,0,0,0.789889415,0,0,0.157977883,9.636650869,0,0,1.737756714,0,0,0,0,0.157977883,0,0,0.157977883,0,0,27.48815166,0.631911532,0,1.105845182,0,0,4.897314376,0,0,0,0,0.157977883,1.895734597,0,12.00631912,0,0,0,1.105845182,0,0
BI05,57.125,-76.408333,-6.394722331,-5.730833455,0,0,0.337837838,9.797297297,0,0,3.885135135,0,13.85135135,0,0,0.337837838,0,0,0,0.844594595,0,0,0.337837838,13.00675676,0,0,1.52027027,0,0,0,0,0,0,0,0.337837838,0,0,31.58783784,0.337837838,0,1.52027027,0.168918919,0,4.222972973,0,0,0.168918919,0.168918919,0.168918919,1.351351351,0,14.52702703,0,0,0,1.52027027,0,0
Big Lake (US:Arkansas),35.908333,-90.108333,15.912778,16.3047225,0,0.71942446,0,0,0,0,0,0,0,0,1.079136691,0,0,0,6.115107914,3.597122302,0,0,0,0,0,0,0,0,0,0,0.71942446,0,0,0,0,0,0,0,0,0,0.71942446,0,0.71942446,3.597122302,0,0,0,14.38848921,0,48.92086331,0,0,14.38848921,0,2.517985612,0,0,2.517985612
Lake BN1,55,-73.516667,-5.061388989,-4.470277864,0,0,1.13452188,12.47974068,0,0,0.648298217,0,13.29011345,0,0,0,0,0,0,0.324149109,0,0,0.648298217,2.106969206,0,0,0.810372771,0,0,0.486223663,0,0,0.648298217,0,0.162074554,0,0,59.31928687,0.972447326,0,0.486223663,0,0,0.648298217,0,0,0,0.162074554,0,0.486223663,0,4.862236629,0,0,0.162074554,0.162074554,0,0
Lake BN3,55,-73.561667,-5.061388989,-4.470277864,0,0,0.761179829,8.182683159,0,0,0.380589914,0,15.03330162,0,0,0,0,0,0,0.570884872,0,0,0.380589914,1.3320647,0,0,0.761179829,0,0,0.570884872,0,0,0.190294957,0,0,0,0,59.84776403,0.570884872,0.380589914,1.3320647,0,0,0.951474786,0,0,0,0.190294957,0,0,0,7.802093245,0,0,0.190294957,0.380589914,0,0.190294957
Lake BN6,55.001667,-73.541667,-5.343611176,-4.738888953,0,0,0.426742532,12.94452347,0,0,0.711237553,0,10.81081081,0,0,0,0,0,0,0.142247511,0,0,0.142247511,0.426742532,0,0,0,0.142247511,0,0.142247511,0,0,0,0,0,0,0,67.9943101,0.284495021,0,0.995732575,0,0,0.568990043,0,0,0,0.142247511,0,0.142247511,0,3.840682788,0,0,0,0.142247511,0,0
Lake BN2B,55,-73.55,-5.061388989,-4.470277864,0,0,0.159872102,11.19104716,0,0,0.159872102,0,12.78976819,0,0,0.159872102,0,0,0,0.319744205,0,0,0.159872102,0.639488409,0,0,0.959232614,0,0,0.639488409,0,0,0.479616307,0,0.159872102,0,0,59.39248601,1.438848921,0,1.119104716,0,0,1.119104716,0,0,0,0,0,0,0,8.792965627,0,0,0,0.319744205,0,0
Lake BN4B,55.001667,-73.558333,-5.343611176,-4.738888953,0,0,0.306748466,7.668711656,0,0,0.613496933,0,11.34969325,0,0,0,0,0,0,0.766871166,0,0,0.153374233,0.766871166,0,0,0.613496933,0,0,0.306748466,0,0,0,0,0.153374233,0,0,70.39877301,0.766871166,0,1.073619632,0,0,0.920245399,0,0,0,0,0,0.306748466,0,3.067484663,0,0,0.153374233,0.613496933,0,0
Lake BN5B,55.003333,-73.545,-5.343611176,-4.738888953,0.191570881,0,0.574712644,8.045977011,0,0,0.383141762,0,16.47509579,0,0,0.191570881,0,0,0,0.383141762,0,0,0.574712644,1.915708812,0,0,0.957854406,0,0,0.766283525,0,0,0,0,0,0,0,62.64367816,0.957854406,0,0.766283525,0,0,0.766283525,0,0,0,0,0,0.191570881,0,3.448275862,0,0,0.191570881,0.383141762,0,0.191570881
Bog A Pond,47.17548,-95.167455,3.940000066,4.828888987,1.488095238,1.19047619,0,3.571428571,0,0,2.083333333,0,14.58333333,0,0,0,0,0,0,1.19047619,0,0.892857143,0,3.273809524,0,0,0,0,0.297619048,0.595238095,0,0,0,0,2.380952381,0,0,0.595238095,7.142857143,9.821428571,37.79761905,0,0,2.678571429,1.488095238,0,0,7.142857143,0.297619048,0.297619048,0,0,0,0,0.595238095,0,0,0.595238095
Tourbière Caribou,47.639722,-71.235833,1.259999992,1.817499998,9.615384615,0,1.373626374,0.549450549,0,0,0,0,14.28571429,0,0.274725275,0,0,0,0,0.274725275,0,0,0,2.472527473,0,0,0.549450549,0.274725275,0,0.274725275,0,0,0,0,0,0,0,46.7032967,5.21978022,9.89010989,0,0,0,3.571428571,0.549450549,0,0,1.098901099,0.274725275,0,0,1.373626374,0,0,0.824175824,0,0,0.549450549
Cascade Fen [Engineer Mountain Bog],37.647645,-107.808675,0.696111112,1.230000029,3.009259259,0,0,0,0,0,4.62962963,0,0,0,0,0,0,0,0,3.472222222,0,0,5.092592593,29.39814815,0,0.462962963,0,0,0,0.231481481,0,0.231481481,0,0,0,0,0,18.98148148,0,0,25.69444444,0,0,4.166666667,0,0,0,3.935185185,0.462962963,0.231481481,0,0,0,0,0,0,0,0
Chara Lake,65.516667,-127.75,-7.323055679,-5.908333454,0,0,0,19.55922865,0,0,0,0,20.38567493,0,0,0,0,0,0,0,0,0,0,7.713498623,0,0,0.275482094,0,0,0.275482094,0,0,0,0,0,0,0,45.17906336,0,0,0.826446281,0,0,0,0,0,0,0,0,0.275482094,0,5.509641873,0,0,0,0,0,0
Chicken Lake,37.469444,-108.221389,7.571944563,8.256389036,0,0,0,0,0,0,5.25,1.5,0,0.25,0,0.25,0,0,0,3,0,0,2.25,19.25,0,1.75,0,0,0,0.25,0,0.25,0,0,0,0,0,1.25,0,0,50.75,0,0,6.5,0,0,0,5.75,0.75,0.75,0.25,0,0,0,0,0,0,0
Site 1 (Heusser 1978),44.3,-124.07,10.20888906,10.75138908,0,0,0,25.51020408,0,0,0,0,0,0,0,0,0,0,0,1.020408163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.020408163,0,0,66.32653061,0,0,5.102040816,0,0,0,0,0,0,0,0,0,0,0,0,1.020408163,0
Site 2 (Heusser 1978),44.5,-124.08,10.20888906,10.75138908,0,0,0,47.47474747,0,0,1.01010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0,0,46.46464646,0,0,3.03030303,0,0,0,0,0,0,0,0,0,0,0,0,1.01010101,0
