"","site.name","lat","long","51.80","86.15","Abies","Acer","Alnus rubra","Alnus rugosa","AlnusXC","Aquifoliaceae","Arceuthobium","Artemisia","Asteraceae","Betula","Brassicaceae","Cactaceae","Carya","Caryophyllaceae","Castanea","Celtis","Cephalanthus","Chenopodiaceae/Amaranthaceae","Chrysolepis/Lithocarpus","Corylus","Cupressaceae","Cyperaceae","Dryas","Ephedra","Ericaceae","Fagus","Fraxinus nigra","Fraxinus pennsylvanica/americana","Iva","Juglans","Larix/Pseudotsuga","Larrea","Liquidambar","Minor Forbs","Myricaceae","Nyssa","Ostrya/Carpinus","Oxyria","Papaveraceae","Picea","Pinus diploxylon","Pinus haploxylon","Pinus undifferentiated","Plantaginaceae","Platanus","Poaceae","Poaeceae","Populus","Prosopis","Pteridium","Quercus","Rosaceae","Salix","Sarcobatus","Saxifraga","Sphagnum","Taxodium","Tilia","Total Fraxinus (sum of nigra/penn/undiff)","Total Lycopodium","Tsuga heterophylla","Tsuga mertensiana","Tsuga undifferentiated","Ulmus"
"40","Brighm24",43.07,-89.85,7.01250016594099,7.72444455191079,0,2.38095238095238,0,0,1.19047619047619,0,0,0,1.78571428571429,2.97619047619048,0,0,5.35714285714286,0,0,0.595238095238095,0,0,0,0.595238095238095,2.38095238095238,0,0,0,0,0,0,0,0,4.16666666666667,0,0,0,0,0,0,1.78571428571429,0,0,0,0,0,4.76190476190476,0,0,12.5,0,3.57142857142857,0,0,47.6190476190476,0,3.57142857142857,0,0,0,0,0,2.97619047619048,0,0,0,0,1.78571428571429
"41","Hillsbor",43.72,-90.38,6.67083348391785,7.57888902839688,0,0.677966101694915,0,0,0.677966101694915,0,0,0,0.677966101694915,4.40677966101695,0,0,4.40677966101695,0,0,0,0,2.71186440677966,0,0,0.338983050847458,0,0,0,0,0,0,0,0,1.69491525423729,0,0,0,0,0,0,2.03389830508475,0,0,0,0,0,5.08474576271187,2.03389830508475,0,37.2881355932203,0,0,0,0,29.1525423728814,0,0,0,0,0,0,0.677966101694915,1.01694915254237,0,0,0,0,7.11864406779661
"42","Hungry Jack Lake",48.15,-91.12,1.69222226594057,2.5213889060335,1.25284738041002,0.569476082004556,0,2.61958997722096,1.82232346241458,0,0,0.683371298405467,0,13.2118451025057,0,0,0.113895216400911,0,0,0,0,2.39179954441913,0,0.683371298405467,3.41685649202733,0.113895216400911,0,0,0,0,0,0,0,0,0.113895216400911,0,0,0,0.113895216400911,0,0.113895216400911,0,0,9.79498861047836,22.6651480637813,3.30296127562642,26.879271070615,0,0,1.82232346241458,0,2.16400911161731,0,0,3.53075170842825,0,0.113895216400911,0,0,0,0,0.113895216400911,1.48063781321185,0,0,0,0,0.911161731207289
"43","Hell's Kitchen Lake",46.18693,-89.702685,3.36861119727708,4.05222229771316,1.16279069767442,1.74418604651163,0,0,6.3953488372093,0,0,2.03488372093023,0.290697674418605,22.3837209302326,0,0,0,0,0,0,0,3.48837209302326,0,0.290697674418605,8.13953488372093,0.872093023255814,0,0,0,0,0,0,0,0.290697674418605,0.872093023255814,0,0,0,0,0,1.16279069767442,0,0,2.03488372093023,0,0,25.8720930232558,0,0,5.23255813953488,0,4.94186046511628,0,0,3.48837209302326,0,2.03488372093023,0,0,0,0,0.290697674418605,0.581395348837209,0,0,0,5.81395348837209,0.581395348837209
"44","Greens Lake",42.28,-73.88,8.94916683625844,9.68055573031307,0,3.0812324929972,0,0,0,0,0,0,0.840336134453782,16.5266106442577,0,0,5.04201680672269,0,0.280112044817927,0,0.280112044817927,0.280112044817927,0,0,2.52100840336134,0.560224089635854,0,0,0,2.24089635854342,0,0,0,0.840336134453782,0,0,0,0.280112044817927,0,0,4.76190476190476,0,0,0,0.560224089635854,0.840336134453782,6.72268907563025,0.560224089635854,0.560224089635854,2.80112044817927,0,1.96078431372549,0,0,36.4145658263305,0.560224089635854,0.560224089635854,0,0,0,0,0.280112044817927,7.56302521008403,0,0,0,1.12044817927171,1.96078431372549
"45","Belmont Bog",42.25,-77.916667,6.47638901687331,6.88361122788241,0,4.26098535286285,0,0,0.532623169107856,0,0,0,0,1.8641810918775,0,0,1.19840213049268,0,0.133155792276964,0,8.5219707057257,0.399467376830892,0,0,0,0,0,0,15.0466045272969,1.4647137150466,0,0,0,0,0,0,0,0,0,0.133155792276964,1.4647137150466,0,0,0.133155792276964,0,5.72569906790945,12.3834886817577,1.33155792276964,0.399467376830892,5.99201065246338,0,0.266311584553928,0,0,7.05725699067909,1.19840213049268,0.932090545938748,0,0,25.2996005326232,0,0.266311584553928,0.66577896138482,0,0,0,2.66311584553928,0.66577896138482
"46","BI01",57.113333,-76.39,-6.39472233146016,-5.73083345461637,0,0,0,0.778210116731518,19.1439688715953,0,0,2.80155642023346,0,21.3229571984436,0,0,0.155642023346304,0.155642023346304,0,0,0,0.778210116731518,0,0,0.778210116731518,11.3618677042802,0,0,0.466926070038911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5369649805447,0.311284046692607,0,0.311284046692607,0,0,3.57976653696498,0,0,0,0,0.155642023346304,0,1.71206225680934,0,0,7.93774319066148,0,0,0.155642023346304,1.40077821011673,0,0,0,0.155642023346304
"47","Lake BI2",57.116667,-76.378333,-6.39472233146016,-5.73083345461637,0,0,0,0.151630022744503,13.4950720242608,0,0,2.42608036391205,0,20.6216830932525,0,0,0,0,0,0,0,0.606520090978014,0,0,0.45489006823351,12.2820318423048,0,0,1.51630022744503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8491281273692,0.45489006823351,0,0.606520090978014,0,0,7.42987111448067,0,0,0,0,0,0.303260045489007,2.57771038665656,0,0,13.1918119787718,0,0,0,3.03260045489007,0,0,0,0
"48","BI03",57.123333,-76.405,-6.39472233146016,-5.73083345461637,0,0,0,1.05421686746988,10.5421686746988,0,0,3.91566265060241,0,14.9096385542169,0,0,0,0,0,0,0,0.451807228915663,0,0.150602409638554,0.301204819277108,8.28313253012048,0,0,0.753012048192771,0,0,0,0,0,0,0,0,0,0.150602409638554,0,0.150602409638554,0,0,40.0602409638554,0.903614457831325,0,0.451807228915663,0,0,1.80722891566265,0,0,0,0,0.150602409638554,0,0.753012048192771,0,0,14.0060240963855,0,0,0,1.20481927710843,0,0,0,0
"49","BI04",57.123333,-76.415,-6.39472233146016,-5.73083345461637,0,0,0,0.789889415481832,16.1137440758294,0,0,4.58135860979463,0,16.2717219589257,0,0,0.157977883096367,0.157977883096367,0,0,0,0.789889415481832,0,0,0.157977883096367,9.63665086887836,0,0,1.73775671406003,0,0,0,0,0,0,0,0,0.157977883096367,0,0,0.157977883096367,0,0,27.4881516587678,0.631911532385466,0,1.10584518167457,0,0,4.89731437598736,0,0,0,0,0,0.157977883096367,1.8957345971564,0,0,12.0063191153239,0,0,0,1.10584518167457,0,0,0,0
